util_mean,ranker,source,group,subgroup,theta,hfunc,augmentation,val_metric,feature_method,num_features,balancing_factor,ranker_config
0.28041522739472097,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,none,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_none_99_linear
0.28041522707428646,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,none,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_none_99_max
0.28276674930529194,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,none,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_none_99_min
0.25658525918281627,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,none,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_none_9_linear
0.2560512668709013,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,none,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_none_9_max
0.24976392895843175,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,none,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_none_9_min
0.28041859622747684,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,one,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_one_99_linear
0.2804185959070422,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,one,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_one_99_max
0.2824269794379761,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,one,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_one_99_min
0.2592297555330669,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,one,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_one_9_linear
0.2580709860376192,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,one,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_one_9_max
0.2545734374524372,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,author,one,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_author_one_9_min
0.28006871974771125,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,doc,,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_doc_99_linear
0.28006871974771125,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,doc,,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_doc_99_max
0.2819031004421796,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,doc,,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_doc_99_min
0.2610854607887433,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,doc,,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_doc_9_linear
0.25888232276752177,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,doc,,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_doc_9_max
0.25828375903882933,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,doc,,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_doc_9_min
0.27148444619960943,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,ind,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_ind_99_linear
0.27148444619960943,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,ind,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_ind_99_max
0.2878621535617468,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,ind,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_ind_99_min
0.25114388302451285,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,ind,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_ind_9_linear
0.2506817552459376,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,ind,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_ind_9_max
0.24754935772956474,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,ind,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_ind_9_min
