diff_mean,disp_mean,rel_mean,ranker,source,group,subgroup,theta,hfunc,augmentation,val_metric,feature_method,num_features,balancing_factor,ranker_config
0.37634735,1.53625165,1.12655055,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,doc,,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_doc_99_max
0.40934065,1.5114307,1.09764345,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,doc,,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_doc_99_min
0.3953332,1.53390115,1.1158825,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,doc,,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_doc_9_linear
0.39681135,1.54468455,1.1205351,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,doc,,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_doc_9_max
0.40989845,1.5605429,1.1219207,ac,lm_mrfr_err_aug0.5_mpt_15_0.5,doc,,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.5_doc_9_min
0.3988724,1.5092269,1.10177575,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,ind,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_ind_99_linear
0.3988724,1.5092269,1.10177575,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,ind,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_ind_99_max
0.41581455,1.48211685,1.07974965,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,ind,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_ind_99_min
0.426578,1.54260515,1.104612,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,ind,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_ind_9_linear
0.4254145,1.553076,1.1104293,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,ind,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_ind_9_max
0.4233262,1.56916505,1.11951785,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,ind,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_ind_9_min
0.399101,1.5284523,1.1112741,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,none,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_none_99_linear
0.399101,1.5284523,1.1112741,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,none,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_none_99_max
0.453457,1.5229323,1.08133615,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,none,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_none_99_min
0.43151005,1.5615469,1.11161675,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,none,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_none_9_linear
0.429469,1.5665006,1.1151142,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,none,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_none_9_max
0.5441947,1.68681305,1.11790775,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,none,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_none_9_min
0.40447475,1.5066729,1.09769755,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,one,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_one_99_linear
0.40447475,1.5066729,1.09769755,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,one,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_one_99_max
0.41276085,1.479079,1.0797576,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,one,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_one_99_min
0.42730305,1.54229105,1.1040925,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,one,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_one_9_linear
0.42613905,1.55285205,1.1099551,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,one,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_one_9_max
0.424554,1.56629745,1.11747015,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,author,one,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_author_one_9_min
0.39175265,1.50796435,1.10470415,ac,lm_mrfr_err_aug0.5_mpt_15_0.9,doc,,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_15_0.9_doc_99_linear
